,timestamps,x,y,z
0,1528302783000000000,-1.918763,-1.6741580000000003,0.365537
2,1528302783000000000,-3.2823239999999996,-1.451387,0.044198
3,1528302783000000000,-3.6419309999999996,-1.807119,-0.046111
4,1528302783000000000,-3.040134,-1.590755,-0.14243499999999998
5,1528302783000000000,-1.617137,-1.070656,-0.433417
6,1528302783000000000,-0.12067699999999999,0.10198,-0.7996840000000001
7,1528302783000000000,0.9195030000000001,0.730398,-1.342008
8,1528302783000000000,1.309452,0.200321,-2.017617
9,1528302783000000000,1.097902,-0.7228020000000001,-2.506748
10,1528302783000000000,0.554509,-1.425699,-2.812114
11,1528302783000000000,0.187673,-1.307742,-2.8809299999999998
12,1528302783000000000,0.255008,-0.805247,-2.752457
13,1528302783000000000,0.43568,-0.511319,-2.5756240000000004
14,1528302783000000000,0.41753900000000005,-0.49960600000000005,-2.5192959999999998
15,1528302783000000000,0.078465,-0.413523,-2.396075
16,1528302783000000000,-0.35171199999999997,-0.645737,-2.1761150000000002
17,1528302783000000000,-0.196184,-1.211965,-2.211927
18,1528302783000000000,0.5466989999999999,-0.6133460000000001,-2.1461099999999997
19,1528302783000000000,1.2885879999999998,0.5513939999999999,-2.778498
20,1528302783000000000,1.341389,0.8291629999999999,-3.106545
21,1528302783000000000,0.691764,0.5382859999999999,-2.919873
22,1528302783000000000,-0.6155609999999999,0.911386,-2.409086
23,1528302783000000000,-0.11469700000000001,-2.09536,-1.931327
24,1528302783000000000,-0.626262,-0.888487,-1.834591
26,1528302783000000000,-0.80238,-0.128625,-2.153168
27,1528302783000000000,-0.577545,-0.10508900000000002,-2.124158
28,1528302783000000000,-0.42336599999999996,-0.502026,-2.007032
29,1528302783000000000,-0.40625100000000003,-0.538216,-2.03152
30,1528302783000000000,-0.434113,-0.452991,-1.7054939999999998
31,1528302783000000000,-0.284673,-0.58155,-1.04577
32,1528302783000000000,-0.144994,-0.615397,-0.46451899999999996
33,1528302783000000000,-0.182801,-0.935802,-0.391309
34,1528302783000000000,-0.040494999999999996,-1.861043,-1.552489
35,1528302783000000000,0.730511,-1.5030629999999998,-1.811704
36,1528302783000000000,0.670466,-1.294404,-1.6044100000000001
37,1528302783000000000,0.5428189999999999,-1.437154,-1.7908950000000001
38,1528302783000000000,0.599638,-1.629807,-1.835755
39,1528302783000000000,0.5990340000000001,-1.892795,-2.0948990000000003
40,1528302783000000000,0.68035,-2.071625,-2.260853
41,1528302783000000000,1.12562,-1.939473,-2.517002
42,1528302783000000000,1.589157,-1.278263,-2.745355
43,1528302783000000000,0.9910180000000001,-1.154923,-2.088374
44,1528302783000000000,-0.22793000000000002,-1.3352700000000002,-1.4709430000000001
45,1528302783000000000,-0.7087439999999999,-1.2545629999999999,-1.28039
46,1528302783000000000,-0.6346649999999999,-0.9543799999999999,-1.414234
47,1528302783000000000,-0.375119,-0.663676,-1.5125959999999998
48,1528302783000000000,-0.046095,-1.0987930000000001,-1.1720620000000002
49,1528302784000000000,0.12707100000000002,-1.99485,-0.628502
50,1528302784000000000,0.149229,-1.8690080000000002,0.267427
51,1528302784000000000,0.13003900000000002,-0.649036,0.678909
52,1528302784000000000,0.5286810000000001,-0.054834,0.791484
53,1528302784000000000,1.105034,0.08187799999999999,1.4818049999999998
54,1528302784000000000,1.108765,-2.047052,1.482861
55,1528302784000000000,1.145726,-3.676969,0.535044
56,1528302784000000000,1.985783,-3.188212,-0.47590200000000005
57,1528302784000000000,2.6499759999999997,-1.478397,-0.674657
58,1528302784000000000,1.8412330000000001,-0.370553,-0.12692
59,1528302784000000000,0.417516,0.128139,0.555215
60,1528302784000000000,-0.40047,-0.185111,1.007811
61,1528302784000000000,-0.495101,-0.922891,0.7774
62,1528302784000000000,-0.209306,-2.2310830000000004,0.355455
63,1528302784000000000,0.066075,-3.0717689999999997,0.775576
64,1528302784000000000,0.17210799999999998,-2.7585740000000003,1.523768
65,1528302784000000000,-0.07298500000000001,-2.171088,1.612959
66,1528302784000000000,-0.667539,-1.6531360000000002,1.0313
67,1528302784000000000,-1.52921,-0.760662,0.313765
68,1528302784000000000,-2.583257,0.442621,-0.088787
69,1528302784000000000,-3.219751,1.175726,-0.07149900000000001
70,1528302784000000000,-3.31589,0.690369,0.281004
71,1528302784000000000,-3.8537519999999996,-1.95619,0.182725
72,1528302784000000000,-4.574862,-4.6349800000000005,-0.751478
73,1528302784000000000,-3.723176,-2.8730990000000003,-1.6981419999999998
74,1528302784000000000,-2.933749,0.961357,-2.275216
75,1528302784000000000,-2.809082,2.196224,-2.177349
76,1528302784000000000,-2.026305,1.312128,-1.84382
78,1528302784000000000,-1.248132,0.016189,-1.084809
79,1528302784000000000,-0.960833,-0.931951,-0.469462
80,1528302784000000000,-1.105429,-1.135311,-0.361875
81,1528302784000000000,-1.443391,-1.074858,-0.574118
82,1528302784000000000,-1.276913,-1.195133,-0.869827
83,1528302784000000000,-0.285115,-0.9338850000000001,-1.038518
84,1528302784000000000,0.604092,-0.515072,-0.908507
85,1528302784000000000,0.9891260000000001,-0.072007,-0.682362
86,1528302784000000000,0.933185,0.22926999999999997,-0.446377
87,1528302784000000000,1.0961100000000001,0.311379,-0.19316
88,1528302784000000000,1.81054,0.11807100000000001,0.066617
89,1528302784000000000,2.720319,-0.255046,0.285339
90,1528302784000000000,3.54857,-0.327015,0.28579699999999997
91,1528302784000000000,4.28489,0.35983699999999996,-0.089908
92,1528302784000000000,4.1894,0.721685,-0.181773
93,1528302784000000000,4.278974,0.09263500000000001,-0.17282999999999998
94,1528302784000000000,5.398358,-0.079387,-0.723238
95,1528302784000000000,5.2232769999999995,0.695463,-0.7010569999999999
96,1528302784000000000,4.137892,1.531631,-0.529391
97,1528302784000000000,3.276141,1.8664919999999998,-0.5890569999999999
98,1528302784000000000,2.461002,1.753252,-0.581155
99,1528302784000000000,1.928088,1.152642,-0.5160279999999999
100,1528302785000000000,1.935,0.254278,-0.359396
101,1528302785000000000,2.388411,-0.004086,-0.058454
102,1528302785000000000,2.3339369999999997,0.064036,0.034109
103,1528302785000000000,1.464006,0.204094,-0.037307
104,1528302785000000000,0.146801,0.132103,-0.07976799999999999
105,1528302785000000000,-1.3638780000000001,-0.224179,-0.054865
106,1528302785000000000,-2.810781,-0.479259,0.148213
107,1528302785000000000,-3.763903,-0.309354,0.41784
108,1528302785000000000,-4.575704,0.10861900000000001,0.590526
109,1528302785000000000,-5.079853,0.12119,0.791743
110,1528302785000000000,-5.342999,-1.769177,1.8266669999999998
111,1528302785000000000,-5.66193,-4.052388,2.7278119999999997
112,1528302785000000000,-4.7692,-3.208062,1.757204
113,1528302785000000000,-4.110547,-0.769509,-0.108846
114,1528302785000000000,-3.260261,-0.040182,-1.12713
115,1528302785000000000,-2.085355,-0.26110300000000003,-1.539756
116,1528302785000000000,-1.532318,-0.805768,-1.279622
117,1528302785000000000,-1.159834,-1.107779,-0.829822
118,1528302785000000000,-1.19086,-1.034245,-0.43586400000000003
119,1528302785000000000,-1.3383610000000001,-0.794858,-0.610418
120,1528302785000000000,-0.616295,-0.48263999999999996,-0.737872
121,1528302785000000000,0.501235,-0.204238,-0.667053
122,1528302785000000000,1.3156729999999999,0.31247800000000003,-0.504912
123,1528302785000000000,1.6760439999999999,0.8428190000000001,-0.274401
124,1528302785000000000,1.481747,1.024802,-0.048631
125,1528302785000000000,1.031005,0.36785300000000004,0.154195
126,1528302785000000000,1.275844,-0.681567,0.239927
127,1528302785000000000,2.051713,-1.272985,0.39103899999999997
129,1528302785000000000,3.0331349999999997,-1.167103,0.416558
130,1528302785000000000,4.3853860000000005,-0.417171,-0.099125
131,1528302785000000000,4.721163,0.15771400000000002,-0.470401
132,1528302785000000000,3.895223,0.127375,-0.948609
133,1528302785000000000,3.4589760000000003,0.31855500000000003,-1.768725
134,1528302785000000000,2.624244,1.04611,-2.252896
135,1528302785000000000,2.047303,1.8580279999999998,-2.187999
136,1528302785000000000,1.7738490000000002,2.20507,-1.539401
137,1528302785000000000,1.7195740000000002,2.158391,-0.801478
138,1528302785000000000,1.7372759999999998,1.789184,-0.187091
139,1528302785000000000,1.827863,1.181514,0.19659400000000002
140,1528302785000000000,1.7466279999999998,0.706804,0.524637
141,1528302785000000000,1.397168,0.639641,0.811289
142,1528302785000000000,0.8828219999999999,0.9959969999999999,0.88745
143,1528302785000000000,-0.026466000000000003,1.089217,0.896818
144,1528302785000000000,-1.175757,0.6916680000000001,1.173163
145,1528302785000000000,-2.4668490000000003,0.316406,1.479711
146,1528302785000000000,-3.92789,0.21881199999999998,1.4992729999999999
147,1528302785000000000,-5.241276,-0.202353,1.320743
148,1528302785000000000,-5.82284,-1.628025,1.082022
149,1528302785000000000,-6.1916720000000005,-2.8056970000000003,0.328944
150,1528302785000000000,-6.008761,-1.359283,-0.808897
151,1528302786000000000,-4.317501,-0.6571279999999999,-1.508291
152,1528302786000000000,-1.300889,-0.8866850000000001,-1.8228669999999998
153,1528302786000000000,0.532542,-1.037823,-1.163309
154,1528302786000000000,0.48427700000000007,-0.8641610000000001,-0.45396000000000003
155,1528302786000000000,-0.191891,-0.605787,-0.265867
156,1528302786000000000,-0.818351,-0.732787,-0.333962
157,1528302786000000000,-1.055676,-0.929883,-0.5392279999999999
158,1528302786000000000,-0.453603,-0.877461,-0.678087
159,1528302786000000000,0.413588,-0.666221,-0.515202
160,1528302786000000000,0.904983,-0.698901,-0.23232600000000003
161,1528302786000000000,1.200428,-0.8222229999999999,-0.201504
162,1528302786000000000,1.442377,-0.830643,-0.302077
163,1528302786000000000,1.76099,-0.7985899999999999,-0.45807700000000007
164,1528302786000000000,2.333066,-0.648245,-0.58725
165,1528302786000000000,2.932227,-0.7554529999999999,-0.570138
166,1528302786000000000,3.496971,-0.679615,-0.661107
167,1528302786000000000,3.6866220000000003,-0.040833,-0.623185
168,1528302786000000000,2.328013,0.409945,-0.13661700000000002
169,1528302786000000000,1.09588,1.0605879999999999,-0.910401
170,1528302786000000000,0.537668,2.125586,-1.9228889999999998
171,1528302786000000000,0.312537,2.8780759999999996,-1.8273119999999998
172,1528302786000000000,0.550805,3.1456060000000003,-0.906539
173,1528302786000000000,1.071077,3.0535069999999997,0.086384
174,1528302786000000000,1.3511469999999999,2.576894,0.5958399999999999
175,1528302786000000000,1.058634,2.245679,0.519133
176,1528302786000000000,-0.116905,2.222654,0.193868
177,1528302786000000000,-1.355569,2.3411880000000003,-0.072741
178,1528302786000000000,-1.616784,2.39643,0.00881
180,1528302786000000000,-0.8839100000000001,2.014773,0.48180600000000007
181,1528302786000000000,0.06288300000000001,0.589006,1.056563
182,1528302786000000000,0.283074,-0.990458,1.428725
183,1528302786000000000,-0.839307,-1.544509,1.560543
184,1528302786000000000,-2.683687,-1.231481,1.298122
185,1528302786000000000,-3.478656,-1.907778,1.448987
186,1528302786000000000,-5.135982,-3.117676,2.103431
187,1528302786000000000,-6.611364999999999,-2.9397159999999998,1.588165
188,1528302786000000000,-6.381112,-0.526886,-0.132143
189,1528302786000000000,-3.1514189999999997,1.115769,-1.607807
190,1528302786000000000,1.1013620000000002,0.975295,-1.46777
191,1528302786000000000,2.486114,-0.402277,-0.591874
192,1528302786000000000,2.165218,-1.5679450000000001,-0.25914699999999996
193,1528302786000000000,0.540836,-2.115912,-0.333757
194,1528302786000000000,-0.777906,-1.917582,-0.591572
195,1528302786000000000,-0.931998,-0.954324,-0.624568
196,1528302786000000000,-0.257988,0.020055,-0.405476
197,1528302786000000000,0.5175850000000001,0.20681100000000002,-0.05971799999999999
198,1528302786000000000,1.4719790000000001,-0.080015,0.34572800000000004
199,1528302786000000000,2.403593,-0.139077,0.6675
200,1528302786000000000,2.720788,0.093198,0.9256049999999999
201,1528302786000000000,2.478411,0.34641900000000003,0.9180219999999999
202,1528302787000000000,2.2308529999999998,0.512333,0.846726
203,1528302787000000000,2.67787,0.865927,0.7148800000000001
204,1528302787000000000,3.5592260000000002,0.901501,0.734323
205,1528302787000000000,3.591729,-0.008471,1.252858
206,1528302787000000000,3.8295790000000003,-0.110752,0.41023699999999996
207,1528302787000000000,3.998897,1.188582,-1.439927
208,1528302787000000000,3.1471259999999996,3.125179,-2.6505959999999997
209,1528302787000000000,2.126944,3.8560760000000003,-2.177722
210,1528302787000000000,1.7221380000000002,3.139825,-0.841356
211,1528302787000000000,1.9475619999999998,2.219405,0.085243
212,1528302787000000000,2.033043,1.48614,0.519834
213,1528302787000000000,1.5704989999999999,0.871766,0.7365229999999999
214,1528302787000000000,0.9401860000000001,0.50846,0.702296
215,1528302787000000000,0.77732,0.392338,0.6496930000000001
216,1528302787000000000,0.468629,0.16757,0.612372
217,1528302787000000000,-0.295741,-0.327745,0.781267
218,1528302787000000000,-1.681613,-0.750989,0.9639059999999999
219,1528302787000000000,-3.3465580000000004,-0.6496270000000001,0.981034
220,1528302787000000000,-4.8934239999999996,-0.42378299999999997,0.526524
221,1528302787000000000,-5.184762,-0.820917,0.761877
222,1528302787000000000,-4.161741,-2.558398,1.869115
223,1528302787000000000,-3.8966160000000003,-3.024541,1.7247240000000001
224,1528302787000000000,-4.641407,-1.311446,0.43185100000000004
225,1528302787000000000,-4.151617,0.787705,-0.45614799999999994
226,1528302787000000000,-1.8996419999999998,1.427329,-1.184991
227,1528302787000000000,-0.165399,0.706555,-0.9107290000000001
228,1528302787000000000,-0.251866,-0.425882,-0.132912
