time_tick,mag_X_value,mag_Y_value,mag_Z_value
3.094904,-27.464157,-45.725006,7.956360
3.120697,-30.593994,-42.860748,4.477234
3.145371,-37.078140,-36.007126,-0.898987
3.170162,-39.753952,-31.570129,-3.476807
3.194627,-42.278152,-26.309082,-5.378021
3.220114,-45.373901,-15.419556,-9.650421
3.244946,-46.171356,-10.015182,-12.020020
3.269994,-45.925888,-5.965317,-13.731537
3.295424,-46.282150,-2.063263,-14.987000
3.319749,-46.326889,5.287094,-15.332123
3.344919,-45.710617,8.135590,-17.277496
3.369944,-44.494141,11.131638,-19.078888
3.394699,-43.804276,13.529938,-21.176880
3.420459,-41.906067,17.648682,-23.881287
3.445324,-41.148148,19.670609,-23.806549
3.469667,-41.143326,21.020477,-23.576172
3.494574,-40.836304,22.969101,-23.271790
3.519676,-40.305283,24.242157,-23.647552
3.544655,-39.851715,25.365158,-23.273010
3.569304,-39.849762,25.665314,-23.571808
3.594619,-40.449448,26.267288,-22.737823
3.619394,-41.123505,26.644867,-22.503937
3.644233,-41.949402,26.573059,-22.270111
3.669889,-42.022873,27.098221,-22.042206
3.694088,-43.527008,27.103409,-20.375641
3.719237,-44.957977,26.883118,-18.335785
3.744844,-46.089371,26.511658,-16.374817
3.769314,-46.998535,26.288651,-13.065735
3.793899,-50.313538,25.324677,-8.608093
3.819199,-50.994080,25.401230,-6.275330
3.845488,-51.599319,25.402603,-4.168640
3.868865,-52.662170,25.479233,1.093353
3.898729,-52.592392,25.627777,3.418182
3.918633,-52.141144,26.600449,4.467102
3.943745,-52.138901,27.350281,4.770081
3.968220,-51.833160,29.298660,5.599518
3.994205,-51.456787,30.346588,6.724579
4.018582,-51.304199,31.320709,7.251770
4.045656,-50.850021,32.368896,7.250946
4.068242,-49.935364,35.140945,5.826996
4.093479,-50.306091,36.117508,5.684998
4.118528,-49.625900,37.464737,5.757874
4.142848,-49.247879,39.112518,7.185333
4.168757,-48.945663,39.711273,7.259369
