time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
4.846899,-0.345785,-0.307411,-2.964042
4.886846,0.456967,0.205963,-3.414342
4.916815,1.531875,-0.074093,-3.665546
4.946752,2.863547,-0.378046,-2.957979
4.986700,0.258977,-0.465142,-2.073663
5.016668,-0.186900,0.326460,-3.116761
5.046637,-0.145705,0.596034,-4.925412
5.086584,-0.495351,0.415460,-6.561886
5.116522,-0.971366,-0.194408,-6.137649
5.146490,-0.561616,-0.907079,-4.993980
5.186438,0.966951,-1.757064,-3.324913
5.216375,0.093861,-0.325234,-2.843813
5.246361,-0.311080,0.891551,-2.797013
5.286308,-0.588243,1.482489,-1.336273
5.316276,-0.040846,1.502847,-0.333979
5.346214,0.313581,1.252829,0.001393
5.386162,0.110206,1.175382,-0.090810
5.416130,-0.045243,0.990206,0.134760
5.446068,-0.161157,0.867842,0.826161
5.486015,-0.243899,0.880777,1.942813
5.515983,-0.288423,0.935211,2.565736
5.545952,-0.877883,1.090784,3.268737
5.585869,-0.687377,0.673724,3.969739
5.615837,0.247948,-0.265816,4.482790
5.645805,0.125013,-1.383623,4.636038
5.685753,-0.167044,-2.124907,4.548071
5.715690,-0.001177,-2.161435,3.863581
5.745659,0.334122,-1.984034,3.479956
5.785606,0.335000,-2.196129,3.159000
5.815544,0.104975,-2.083818,2.534338
5.845512,-0.030055,-1.360971,1.719848
5.885460,0.259617,-0.677236,0.902511
5.915428,0.796173,-0.181514,0.170829
5.945366,0.861525,0.906551,-0.326287
5.985313,0.307048,1.654646,-1.383097
6.015281,0.201431,1.582356,-2.173759
6.055229,0.570455,1.409050,-3.205887
6.085167,0.209512,1.540775,-3.823246
6.115135,-0.118342,1.722535,-4.177490
6.155082,0.154071,1.755097,-4.604199
6.185020,0.366920,1.712093,-4.696308
6.214988,1.390774,0.919478,-3.762259
6.254915,1.634268,0.147414,-3.291493
6.284883,1.194454,-0.431610,-2.890692
6.314821,1.016681,-0.636997,-2.512206
6.344789,0.821872,-0.601485,-2.627064
6.384737,1.153854,-0.966569,-2.424022
6.414675,-0.364730,-0.877579,-0.968635
6.454622,-1.021590,-1.990187,0.912512
6.484590,-0.169811,-1.169949,0.100316
6.514559,-0.127134,-0.076516,-1.691903
6.554476,-2.119502,1.267747,-3.125021
6.584444,-2.258922,1.724152,-3.937586
6.614412,-3.494761,1.885120,-4.231704
6.654360,-4.790289,2.271076,-5.291950
6.684297,-5.516042,3.000287,-5.895507
6.714266,-6.507808,3.970834,-6.571103
6.754213,-7.700346,5.428803,-6.576429
6.784151,-7.914084,5.891733,-6.623685
6.814119,-9.275730,5.009506,-5.635326
6.854067,-8.156073,2.490130,-5.492834
6.884035,-3.429807,2.077916,-4.531651
6.913973,0.920101,1.616269,-1.621515
6.953920,4.000449,0.017508,0.700413
